"","subject","breed","age","sex","condition","side_fakedog","side_chair","blocking.sum","non.off.manipulation.sum","dom.beh.sum","interaction.dog.sum","dog.approach.sum","sniffing.dog.sum","blocking.presence","non.off.manipulation.presence","dom.beh.presence","interaction.dog.presence","sniffing.dog.presence","human","treatment"
"55","Kiki2","mixbreed",56,"female","CM","right","right",1,0,1,0,1,21,1,0,1,0,1,"C","M"
"56","Laiki","mixbreed",105,"male","SP","left","left",1,0,1,0,1,6,1,0,1,0,1,"S","P"
"57","Leia","Beagle",94,"female","CP","left","left",0,0,0,0,1,3,0,0,0,0,1,"C","P"
"58","Lenni","mixbreed",80,"male","CM","right","right",0,0,0,0,1,7,0,0,0,0,1,"C","M"
"59","Levi","mixbreed",48,"male","SP","left","left",1,0,0,0,1,6,1,0,0,0,1,"S","P"
"60","Linus","Australian_Shepherd",64,"male","SP","right","right",2,7,0,4,1,18,1,1,0,1,1,"S","P"
"61","Luca2","Scotia_Duck_Trolling_Retriever",39,"male","SM","left","right",0,0,0,0,1,2,0,0,0,0,1,"S","M"
"62","Lumpi","mixbreed",48,"male","CM","left","left",1,0,0,0,1,9,1,0,0,0,1,"C","M"
"63","Maedi","mixbreed",99,"female","CM","left","left",0,0,0,0,1,5,0,0,0,0,1,"C","M"
"64","Maeva","Border_Collie",101,"female","SP","left","right",0,0,0,0,1,2,0,0,0,0,1,"S","P"
"65","Marlboro","Whippet",35,"male","SM","right","left",1,0,0,0,1,12,1,0,0,0,1,"S","M"
"66","Maroni","Miniature_Pinscher",82,"male","CP","left","left",1,0,1,0,1,10,1,0,1,0,1,"C","P"
"67","Maylo","mixbreed",46,"male","SP","right","right",0,0,0,0,1,7,0,0,0,0,1,"S","P"
"68","Maylo2","Golden_retriever",64,"male","CM","right","right",3,0,0,0,1,19,1,0,0,0,1,"C","M"
"69","Mia","Golden_retriever",29,"female","CP","right","left",1,0,0,2,1,18,1,0,0,1,1,"C","P"
"70","Milow","mixbreed",102,"male","SP","left","right",0,0,0,0,1,14,0,0,0,0,1,"S","P"
"71","Miss Face","Alaska_Husky",145,"female","CP","right","right",0,0,0,0,1,5,0,0,0,0,1,"C","P"
"72","Monty2","Border_Collie",116,"male","CP","left","right",0,0,0,0,1,5,0,0,0,0,1,"C","P"
"73","Muesli","Border_Collie",77,"male","SP","left","right",1,0,0,0,1,15,1,0,0,0,1,"S","P"
"74","Mulan","mixbreed",115,"female","SP","left","left",0,0,1,0,1,1,0,0,1,0,1,"S","P"
"75","Nana","mixbreed",67,"female","CP","right","left",0,0,0,0,1,9,0,0,0,0,1,"C","P"
"76","Nanouk2","Australian_Shepherd",88,"female","SP","left","right",0,0,0,0,1,0,0,0,0,0,0,"S","P"
"77","Nils2","Golden_retriever",63,"male","CP","left","right",3,0,5,0,1,16,1,0,1,0,1,"C","P"
"78","Orlando","Long-Haired Collie",109,"male","CP","right","right",5,0,2,1,1,16,1,0,1,1,1,"C","P"
"79","Pamina2","mixbreed",57,"female","CM","left","right",0,0,0,0,1,6,0,0,0,0,1,"C","M"
"80","Paul2","mixbreed",31,"male","SM","left","left",1,0,0,0,1,9,1,0,0,0,1,"S","M"
"81","Pepina","Boxer",78,"female","CP","right","left",9,0,0,8,1,29,1,0,0,1,1,"C","P"
"82","Poppy2","Miniature_Poodle_Spaniel_Mix",61,"female","SP","right","left",0,0,0,0,0,0,0,0,0,0,0,"S","P"
"83","Riu","Australian_Shepherd",17,"female","CP","left","right",5,22,1,10,1,19,1,1,1,1,1,"C","P"
"84","Ronja","mixbreed",101,"female","SM","right","left",1,0,1,0,1,5,1,0,1,0,1,"S","M"
"85","Runa","mixbreed",55,"female","CM","left","right",3,0,0,3,1,12,1,0,0,1,1,"C","M"
"86","Sambesi","Rhodesian_Ridgeback",44,"female","SM","right","right",0,0,0,0,0,0,0,0,0,0,0,"S","M"
"87","Sammy8","Labradoodle",32,"male","SP","left","right",0,0,0,0,1,17,0,0,0,0,1,"S","P"
"88","Scampi","mixbreed",69,"male","CP","right","right",2,0,0,0,1,9,1,0,0,0,1,"C","P"
